Name,Symbol,Current Price (USD),Market Cap,24h Change (%),Total Volume,Last Updated,Market Cap Log,Total Volume Log,Current Price Log,Liquidity Ratio,Absolute 24h Change,Is Stablecoin,Risk_MarketCap_Inv_Scaled,Risk_Volatility_Scaled,Liquidity_Ratio_Scaled,Risk_Liquidity_Inv_Scaled,Reward_24hChange_Scaled,Reward_Volume_Scaled,Reward_Liquidity_Scaled,Risk Score,Reward Score,Anomaly_Pred_IF,Is_Anomaly_IF,Market Cap Tier
Bitcoin,BTC,94344.0,1873794852740,0.22055,30048904094.0,2025-04-29 05:38:37.633000+00:00,28.25898682349687,24.126092027878244,11.454713555221815,0.01603638949592603,0.22055,False,0.0,0.003715305356660049,0.00255491484998504,0.997445085150015,0.003715305356660049,1.0,0.00255491484998504,0.20097513917266702,0.3022525965976595,-1,True,Mega Cap (>$100B)
Ethereum,ETH,1794.84,216622741611,0.00957,15289571994.0,2025-04-29 05:38:38.924000+00:00,26.101423159593736,23.45043686401684,7.493228158033987,0.0705815644299075,0.00957,False,0.19279153178288944,0.00016121275113686998,0.011246704304597661,0.9887532956954024,0.00016121275113686998,0.9651449820546039,0.011246704304597661,0.274931756952691,0.2929819910082152,-1,True,Mega Cap (>$100B)
XRP,XRP,2.28,133031832238,-0.17409,3342810123.0,2025-04-29 05:38:38.884000+00:00,25.613854276673738,21.93007764468575,1.1878434223960523,0.02512789658507868,0.17409,False,0.23635879858500575,0.0029326570371387348,0.004003649142975688,0.9959963508570243,0.0,0.8867142222415938,0.004003649142975688,0.29491585242026264,0.26721536141537083,-1,True,Mega Cap (>$100B)
BNB,BNB,607.44,88597084266,0.55653,621957431.0,2025-04-29 05:38:37.053000+00:00,25.207364785065597,20.24838221106248,6.410898304443542,0.007020066587436018,0.55653,False,0.27268112503678266,0.009375102653103682,0.0011181611780012566,0.9988818388219988,0.009375102653103682,0.7999606123340794,0.0011181611780012566,0.3125988588403543,0.24407367311486566,-1,True,Large Cap ($1B-$100B)
Solana,SOL,146.64,75780493084,-1.70648,3456354735.0,2025-04-29 05:38:37.409000+00:00,25.051106749311685,21.963480326139255,4.994776878161797,0.045610085054062034,1.70648,False,0.28664373785344655,0.02874674352769549,0.007267491819391555,0.9927325081806084,0.0,0.8884373661229081,0.007267491819391555,0.32470269418857856,0.2687114573826899,1,False,Large Cap ($1B-$100B)
Dogecoin,DOGE,0.17824,26569535212,-0.47291,1306168080.0,2025-04-29 05:38:36.735000+00:00,24.00303110364078,20.990363558600798,0.1640217996225213,0.04916036617042799,0.47291,False,0.3802957178778499,0.007966470443065535,0.007833230145567778,0.9921667698544322,0.0,0.8382371986267023,0.007833230145567778,0.35373822929925264,0.25382112863168105,1,False,Large Cap ($1B-$100B)
Cardano,ADA,0.701511,25263800856,-1.21052,772583773.0,2025-04-29 05:38:37.871000+00:00,23.95263841194763,20.46525100616385,0.531516679821852,0.030580662719897747,1.21052,False,0.3847986136137793,0.020391981139624225,0.004872549008939134,0.9951274509910608,0.0,0.8111482212644321,0.004872549008939134,0.3611017280995736,0.24480623108201136,1,False,Large Cap ($1B-$100B)
TRON,TRX,0.2474,23485161225,0.88658,584124064.0,2025-04-29 05:38:36.851000+00:00,23.87963462146461,20.185623958298798,0.22106138510988518,0.024872048286311052,0.88658,False,0.3913219495545208,0.014935005319010049,0.003962879642320487,0.9960371203576796,0.014935005319010049,0.7967231028125086,0.003962879642320487,0.3617102060209483,0.24617979686405272,1,False,Large Cap ($1B-$100B)
Lido Staked Ether,STETH,1793.37,16571587797,0.02151,20313839.0,2025-04-29 05:38:36.937000+00:00,23.5309554874513,16.826812985109125,7.492409264385901,0.0012258233338194346,0.02151,False,0.4224785663773818,0.0003623496632135917,0.00019484683406156258,0.9998051531659384,0.0003623496632135917,0.6234521459583486,0.00019484683406156258,0.3690973970494259,0.1872390377030085,1,False,Large Cap ($1B-$100B)
Wrapped Bitcoin,WBTC,94268.0,12145019113,0.16531,234376356.0,2025-04-29 05:38:42.487000+00:00,23.220184973215694,19.272438744538857,11.453907676505356,0.019298146328079805,0.16531,False,0.4502478157741998,0.0027847523396484822,0.0030746767477429766,0.996925323252257,0.0027847523396484822,0.7496146239382137,0.0030746767477429766,0.38059809189599075,0.22692069114164637,1,False,Large Cap ($1B-$100B)
Sui,SUI,3.54,11507677519,-1.72705,2339871714.0,2025-04-29 05:38:30.808000+00:00,23.166280259997688,21.573361942163633,1.5129270120532565,0.20333135944561395,1.72705,False,0.4550645321499367,0.02909325829163336,0.03240042266403168,0.9675995773359684,0.0,0.8683123319315191,0.03240042266403168,0.38718303164382173,0.27021382637866526,1,False,Large Cap ($1B-$100B)
